"CNPJ","DSC_PRODUTO","DIA","MES","ANO","VAL_MEDIO_VENDIDO"
69999456000103,"GASOLINA  C  COMUM",26,7,2019,"4.608240145"
69999456000103,"GASOLINA  C  COMUM",27,7,2019,"4.608325793"
69999456000103,"GASOLINA  C  COMUM",28,7,2019,"4.608192744"
69999456000103,"GASOLINA  C  COMUM",29,7,2019,"4.608299068"
8418303000564,"GASOLINA  C ADITIVADA",10,7,2019,"4.233069881"
8418303000564,"GASOLINA  C ADITIVADA",11,7,2019,"4.19123427"
8418303000564,"GASOLINA  C ADITIVADA",12,7,2019,"4.195334156"
8418303000564,"GASOLINA  C ADITIVADA",13,7,2019,"4.209090389"
8418303000564,"GASOLINA  C ADITIVADA",14,7,2019,"4.234803476"
8418303000564,"GASOLINA  C ADITIVADA",15,7,2019,"4.182867819"
8418303000564,"GASOLINA  C ADITIVADA",16,7,2019,"4.207825269"
8418303000564,"GASOLINA  C ADITIVADA",17,7,2019,"4.22738577"
8418303000564,"GASOLINA  C ADITIVADA",18,7,2019,"4.205633962"
8418303000564,"GASOLINA  C ADITIVADA",19,7,2019,"4.23197623"
8418303000564,"GASOLINA  C ADITIVADA",20,7,2019,"4.156854356"
8418303000564,"GASOLINA  C ADITIVADA",21,7,2019,"4.225482186"
8418303000564,"GASOLINA  C ADITIVADA",22,7,2019,"4.17805054"
8418303000564,"GASOLINA  C ADITIVADA",23,7,2019,"4.188047714"
8418303000564,"GASOLINA  C ADITIVADA",24,7,2019,"4.194969629"
8418303000564,"GASOLINA  C ADITIVADA",25,7,2019,"4.21281373"
8418303000564,"GASOLINA  C ADITIVADA",26,7,2019,"4.221201071"
8418303000564,"GASOLINA  C ADITIVADA",27,7,2019,"4.234440565"
8418303000564,"GASOLINA  C ADITIVADA",28,7,2019,"4.200889734"
8418303000564,"GASOLINA  C ADITIVADA",29,7,2019,"4.17212373"
7431049000148,"GASOLINA  COMUM",10,7,2019,"4.751076614"
7431049000148,"GASOLINA  COMUM",11,7,2019,"4.749959707"
7431049000148,"GASOLINA  COMUM",12,7,2019,"4.707579325"
7431049000148,"GASOLINA  COMUM",13,7,2019,"4.689238501"
7431049000148,"GASOLINA  COMUM",14,7,2019,"4.695307331"
7431049000148,"GASOLINA  COMUM",15,7,2019,"4.698522756"
7431049000148,"GASOLINA  COMUM",16,7,2019,"4.684336987"
7431049000148,"GASOLINA  COMUM",17,7,2019,"4.690910307"
7431049000148,"GASOLINA  COMUM",18,7,2019,"4.693883959"
7431049000148,"GASOLINA  COMUM",19,7,2019,"4.697351464"
7431049000148,"GASOLINA  COMUM",20,7,2019,"4.682375617"
7431049000148,"GASOLINA  COMUM",21,7,2019,"4.692736792"
7431049000148,"GASOLINA  COMUM",22,7,2019,"4.697437912"
7431049000148,"GASOLINA  COMUM",23,7,2019,"4.697987283"
7431049000148,"GASOLINA  COMUM",24,7,2019,"4.690976072"
7431049000148,"GASOLINA  COMUM",25,7,2019,"4.690450797"
7431049000148,"GASOLINA  COMUM",26,7,2019,"4.688216269"
7431049000148,"GASOLINA  COMUM",27,7,2019,"4.69646502"
7431049000148,"GASOLINA  COMUM",28,7,2019,"4.685450603"
7431049000148,"GASOLINA  COMUM",29,7,2019,"4.69772992"
9321716000165,"GASOLINA  COMUM",10,7,2019,"4.579917525"
9321716000165,"GASOLINA  COMUM",11,7,2019,"4.579699365"
9321716000165,"GASOLINA  COMUM",12,7,2019,"4.579883372"
9321716000165,"GASOLINA  COMUM",13,7,2019,"4.56258475"
9321716000165,"GASOLINA  COMUM",14,7,2019,"4.529752398"
9321716000165,"GASOLINA  COMUM",15,7,2019,"4.52964579"
9321716000165,"GASOLINA  COMUM",16,7,2019,"4.529691204"
9321716000165,"GASOLINA  COMUM",17,7,2019,"4.529675094"
9321716000165,"GASOLINA  COMUM",18,7,2019,"4.529708116"
9321716000165,"GASOLINA  COMUM",19,7,2019,"4.529722894"
9321716000165,"GASOLINA  COMUM",20,7,2019,"4.529708612"
9321716000165,"GASOLINA  COMUM",21,7,2019,"4.529675762"
9321716000165,"GASOLINA  COMUM",22,7,2019,"4.529810769"
9321716000165,"GASOLINA  COMUM",23,7,2019,"4.529817461"
9321716000165,"GASOLINA  COMUM",24,7,2019,"4.529588244"
9321716000165,"GASOLINA  COMUM",25,7,2019,"4.52968475"
9321716000165,"GASOLINA  COMUM",26,7,2019,"4.52967484"
9321716000165,"GASOLINA  COMUM",27,7,2019,"4.529710532"
9321716000165,"GASOLINA  COMUM",28,7,2019,"4.529704285"
9321716000165,"GASOLINA  COMUM",29,7,2019,"4.529698721"
11376961000111,"GASOLINA  COMUM",10,7,2019,"4.582990039"
11376961000111,"GASOLINA  COMUM",11,7,2019,"4.637638226"
11376961000111,"GASOLINA  COMUM",12,7,2019,"4.617728049"
11376961000111,"GASOLINA  COMUM",13,7,2019,"4.668772887"
11376961000111,"GASOLINA  COMUM",14,7,2019,"4.669086618"
11376961000111,"GASOLINA  COMUM",15,7,2019,"4.639881484"
11376961000111,"GASOLINA  COMUM",16,7,2019,"4.576097802"
11376961000111,"GASOLINA  COMUM",17,7,2019,"4.633728966"
11376961000111,"GASOLINA  COMUM",18,7,2019,"4.586130092"
11376961000111,"GASOLINA  COMUM",19,7,2019,"4.622943629"
11376961000111,"GASOLINA  COMUM",20,7,2019,"4.606607435"
11376961000111,"GASOLINA  COMUM",22,7,2019,"4.592486203"
11376961000111,"GASOLINA  COMUM",23,7,2019,"4.559737695"
11376961000111,"GASOLINA  COMUM",24,7,2019,"4.551434555"
11376961000111,"GASOLINA  COMUM",25,7,2019,"4.548147011"
11376961000111,"GASOLINA  COMUM",26,7,2019,"4.55319655"
11376961000111,"GASOLINA  COMUM",27,7,2019,"4.598991806"
11376961000111,"GASOLINA  COMUM",29,7,2019,"4.56287694"
12512646000137,"GASOLINA  COMUM C",10,7,2019,"4.723045956"
12512646000137,"GASOLINA  COMUM C",11,7,2019,"4.676740323"
12512646000137,"GASOLINA  COMUM C",12,7,2019,"4.684878365"
12512646000137,"GASOLINA  COMUM C",13,7,2019,"4.687055225"
12512646000137,"GASOLINA  COMUM C",14,7,2019,"4.686661083"
12512646000137,"GASOLINA  COMUM C",15,7,2019,"4.687055231"
12512646000137,"GASOLINA  COMUM C",16,7,2019,"4.687555359"
12512646000137,"GASOLINA  COMUM C",17,7,2019,"4.687153362"
12512646000137,"GASOLINA  COMUM C",18,7,2019,"4.687501229"
12512646000137,"GASOLINA  COMUM C",19,7,2019,"4.686973267"
12512646000137,"GASOLINA  COMUM C",20,7,2019,"4.686356652"
12512646000137,"GASOLINA  COMUM C",21,7,2019,"4.687443367"
12512646000137,"GASOLINA  COMUM C",22,7,2019,"4.687750008"
12512646000137,"GASOLINA  COMUM C",23,7,2019,"4.687053182"
12512646000137,"GASOLINA  COMUM C",24,7,2019,"4.68662566"
12512646000137,"GASOLINA  COMUM C",25,7,2019,"4.687679323"
12512646000137,"GASOLINA  COMUM C",26,7,2019,"4.68707007"
12512646000137,"GASOLINA  COMUM C",27,7,2019,"4.686384155"
12512646000137,"GASOLINA  COMUM C",28,7,2019,"4.686647562"
12512646000137,"GASOLINA  COMUM C",29,7,2019,"4.686487666"
5562589000135,"GASOLINA  GRID",10,7,2019,"4.674967479"
5562589000135,"GASOLINA  GRID",11,7,2019,"4.684027811"
5562589000135,"GASOLINA  GRID",12,7,2019,"4.680936102"
5562589000135,"GASOLINA  GRID",13,7,2019,"4.66747536"
5562589000135,"GASOLINA  GRID",14,7,2019,"4.678978667"
5562589000135,"GASOLINA  GRID",15,7,2019,"4.6580724"
5562589000135,"GASOLINA  GRID",16,7,2019,"4.671979094"
5562589000135,"GASOLINA  GRID",17,7,2019,"4.681109726"
5562589000135,"GASOLINA  GRID",18,7,2019,"4.66816992"
5562589000135,"GASOLINA  GRID",19,7,2019,"4.678925594"
5562589000135,"GASOLINA  GRID",20,7,2019,"4.684361191"
5562589000135,"GASOLINA  GRID",21,7,2019,"4.678513613"
5562589000135,"GASOLINA  GRID",22,7,2019,"4.662248807"
5562589000135,"GASOLINA  GRID",23,7,2019,"4.668641066"
5562589000135,"GASOLINA  GRID",24,7,2019,"4.663216109"
5562589000135,"GASOLINA  GRID",25,7,2019,"4.676919678"
5562589000135,"GASOLINA  GRID",26,7,2019,"4.663223907"
5562589000135,"GASOLINA  GRID",27,7,2019,"4.663292881"
5562589000135,"GASOLINA  GRID",28,7,2019,"4.681981362"
5562589000135,"GASOLINA  GRID",29,7,2019,"4.66848429"
7431049000148,"GASOLINA  PETROBRAS GRID",10,7,2019,"4.797331098"
7431049000148,"GASOLINA  PETROBRAS GRID",11,7,2019,"4.797949902"
7431049000148,"GASOLINA  PETROBRAS GRID",12,7,2019,"4.763814691"
7431049000148,"GASOLINA  PETROBRAS GRID",13,7,2019,"4.738698216"
7431049000148,"GASOLINA  PETROBRAS GRID",14,7,2019,"4.748462438"
7431049000148,"GASOLINA  PETROBRAS GRID",15,7,2019,"4.74826856"
7431049000148,"GASOLINA  PETROBRAS GRID",16,7,2019,"4.729226997"
7431049000148,"GASOLINA  PETROBRAS GRID",17,7,2019,"4.741657645"
7431049000148,"GASOLINA  PETROBRAS GRID",18,7,2019,"4.746927211"
7431049000148,"GASOLINA  PETROBRAS GRID",19,7,2019,"4.748248539"
7431049000148,"GASOLINA  PETROBRAS GRID",20,7,2019,"4.745274515"
7431049000148,"GASOLINA  PETROBRAS GRID",21,7,2019,"4.735945931"
7431049000148,"GASOLINA  PETROBRAS GRID",22,7,2019,"4.742731372"
7431049000148,"GASOLINA  PETROBRAS GRID",23,7,2019,"4.743229899"
7431049000148,"GASOLINA  PETROBRAS GRID",24,7,2019,"4.736727639"
7431049000148,"GASOLINA  PETROBRAS GRID",25,7,2019,"4.74082637"
7431049000148,"GASOLINA  PETROBRAS GRID",26,7,2019,"4.748292484"
7431049000148,"GASOLINA  PETROBRAS GRID",27,7,2019,"4.748064372"
7431049000148,"GASOLINA  PETROBRAS GRID",28,7,2019,"4.728970658"
7431049000148,"GASOLINA  PETROBRAS GRID",29,7,2019,"4.748500735"
6964197000165,"GASOLINA A GRID",10,7,2019,"4.649852923"
6964197000165,"GASOLINA A GRID",11,7,2019,"4.650169602"
6964197000165,"GASOLINA A GRID",12,7,2019,"4.64981829"
6964197000165,"GASOLINA A GRID",13,7,2019,"4.64998352"
6964197000165,"GASOLINA A GRID",14,7,2019,"4.649828653"
6964197000165,"GASOLINA A GRID",15,7,2019,"4.649984514"
6964197000165,"GASOLINA A GRID",16,7,2019,"4.64984178"
6964197000165,"GASOLINA A GRID",17,7,2019,"4.649966712"
6964197000165,"GASOLINA A GRID",18,7,2019,"4.648897106"
6964197000165,"GASOLINA A GRID",19,7,2019,"4.638251054"
6964197000165,"GASOLINA A GRID",20,7,2019,"4.498868886"
6964197000165,"GASOLINA A GRID",21,7,2019,"4.498832238"
6964197000165,"GASOLINA A GRID",22,7,2019,"4.497050366"
6964197000165,"GASOLINA A GRID",23,7,2019,"4.499200873"
6964197000165,"GASOLINA A GRID",24,7,2019,"4.499165589"
6964197000165,"GASOLINA A GRID",25,7,2019,"4.499074889"
6964197000165,"GASOLINA A GRID",26,7,2019,"4.498818228"
6964197000165,"GASOLINA A GRID",27,7,2019,"4.498932004"
6964197000165,"GASOLINA A GRID",28,7,2019,"4.498130423"
6964197000165,"GASOLINA A GRID",29,7,2019,"4.498453584"
47508411126338,"GASOLINA ADIT  1354",27,7,2019,"4.141514739"
440239000182,"GASOLINA ADIT V-POWER",10,7,2019,"4.648188629"
440239000182,"GASOLINA ADIT V-POWER",11,7,2019,"4.634027358"
440239000182,"GASOLINA ADIT V-POWER",12,7,2019,"4.65124742"
440239000182,"GASOLINA ADIT V-POWER",13,7,2019,"4.616195736"
440239000182,"GASOLINA ADIT V-POWER",14,7,2019,"4.548534051"
440239000182,"GASOLINA ADIT V-POWER",15,7,2019,"4.553761339"
440239000182,"GASOLINA ADIT V-POWER",16,7,2019,"4.553911338"
440239000182,"GASOLINA ADIT V-POWER",17,7,2019,"4.567339424"
440239000182,"GASOLINA ADIT V-POWER",18,7,2019,"4.56831353"
440239000182,"GASOLINA ADIT V-POWER",19,7,2019,"4.572184911"
440239000182,"GASOLINA ADIT V-POWER",20,7,2019,"4.548601086"
440239000182,"GASOLINA ADIT V-POWER",21,7,2019,"4.552907901"
440239000182,"GASOLINA ADIT V-POWER",22,7,2019,"4.549448673"
440239000182,"GASOLINA ADIT V-POWER",23,7,2019,"4.559826946"
